"date","home_team","away_team","is_shootout","home_win_pen","away_win_pen","first_shooter_home","first_shooter_away"
2004-07-25,"ARGENTINA","BRAZIL",1,0,1,1,0
2004-07-30,"UZBEKISTAN","BAHRAIN",1,0,1,0,1
2004-07-31,"JAPAN","JORDAN",1,1,0,1,0
2004-08-03,"CHINA PR","IRAN",1,1,0,1,0
2004-10-22,"NIGERIA","ECUADOR",1,0,1,0,0
2004-10-24,"ZIMBABWE","ZAMBIA",1,0,1,0,0
2004-11-20,"ZAMBIA","ANGOLA",1,0,1,0,0
2004-11-30,"THAILAND","ESTONIA",1,1,0,0,0
2004-11-30,"SINGAPORE","HONG KONG",1,0,1,0,0
2004-12-02,"THAILAND","SLOVAKIA",1,0,1,0,0
2004-12-03,"BAHRAIN","LATVIA",1,1,0,0,0
2004-12-03,"FINLAND","OMAN",1,0,1,0,0
2004-12-22,"ETHIOPIA","KENYA",1,1,0,0,0
2004-12-24,"QATAR","OMAN",1,1,0,0,0
2005-02-08,"CYPRUS","AUSTRIA",1,1,0,0,0
2005-02-09,"AUSTRIA","LATVIA",1,0,1,0,0
2005-02-27,"COSTA RICA","HONDURAS",1,1,0,0,0
2005-04-16,"NAMIBIA","BOTSWANA",1,0,1,0,0
2005-05-15,"JERSEY","GUERNSEY",1,0,1,0,0
2005-06-26,"MEXICO","ARGENTINA",1,0,1,1,0
2005-07-17,"SOUTH AFRICA","PANAMA",1,0,1,0,1
2005-07-24,"UNITED STATES","PANAMA",1,1,0,0,1
2005-07-28,"KUWAIT","UNITED ARAB EMIRATES",1,0,1,0,0
2005-07-30,"EGYPT","UNITED ARAB EMIRATES",1,1,0,0,0
2005-08-13,"SOUTH AFRICA","ZAMBIA",1,0,1,0,0
2005-08-15,"UKRAINE","ISRAEL",1,0,1,0,0
2005-11-16,"AUSTRALIA","URUGUAY",1,1,0,1,0
2005-12-10,"SYRIA","IRAQ",1,0,1,0,0
2005-12-10,"ZANZIBAR","UGANDA",1,1,0,0,0
2006-02-04,"NIGERIA","TUNISIA",1,1,0,1,0
2006-02-04,"CAMEROON","IVORY COAST",1,0,1,1,0
2006-02-10,"EGYPT","IVORY COAST",1,1,0,1,0
2006-02-28,"FINLAND","KAZAKHSTAN",1,0,1,0,0
2006-03-01,"FINLAND","BELARUS",1,1,0,0,0
2006-04-29,"LESOTHO","MOZAMBIQUE",1,1,0,0,0
2006-04-30,"MAURITIUS","MOZAMBIQUE",1,0,1,0,0
2006-05-21,"BOTSWANA","SOUTH AFRICA",1,1,0,0,0
2006-06-03,"NORTHERN CYPRUS","ZANZIBAR",1,1,0,0,0
2006-06-26,"SWITZERLAND","UKRAINE",1,0,1,0,1
2006-06-30,"GERMANY","ARGENTINA",1,1,0,1,0
2006-07-01,"ENGLAND","PORTUGAL",1,0,1,0,1
2006-07-09,"ITALY","FRANCE",1,1,0,1,0
2006-07-22,"NAMIBIA","SEYCHELLES",1,0,1,0,0
2007-04-29,"MOZAMBIQUE","ZIMBABWE",1,1,0,0,0
2007-05-06,"GUERNSEY","JERSEY",1,0,1,0,0
2007-05-26,"MALAWI","SOUTH AFRICA",1,0,1,0,0
2007-05-26,"ESWATINI","MAURITIUS",1,0,1,0,0
2007-07-10,"URUGUAY","BRAZIL",1,0,1,0,1
2007-07-21,"JAPAN","AUSTRALIA",1,1,0,0,1
2007-07-22,"IRAN","SOUTH KOREA",1,0,1,0,1
2007-07-25,"IRAQ","SOUTH KOREA",1,1,0,0,1
2007-07-28,"SOUTH KOREA","JAPAN",1,1,0,1,0
2007-07-29,"BOTSWANA","ANGOLA",1,1,0,0,0
2007-08-18,"MAURITIUS","MAYOTTE",1,0,1,0,0
2007-08-18,"MADAGASCAR","RÉUNION",1,0,1,0,0
2007-10-24,"SOUTH AFRICA","ZAMBIA",1,1,0,0,0
2008-05-05,"JERSEY","GUERNSEY",1,1,0,0,0
2008-06-20,"CROATIA","TURKEY",1,0,1,1,0
2008-06-22,"SPAIN","ITALY",1,1,0,1,0
2008-07-27,"ZAMBIA","ZIMBABWE",1,1,0,0,0
2008-09-30,"NEW CALEDONIA","MARTINIQUE",1,0,1,0,0
2009-06-26,"PROVENCE","SÁPMI",1,0,1,0,0
2009-07-23,"COSTA RICA","MEXICO",1,0,1,0,1
2009-10-28,"ZIMBABWE","SOUTH AFRICA",1,1,0,0,0
2010-01-25,"ZAMBIA","NIGERIA",1,0,1,1,0
2010-05-21,"CORSICA","GABON",1,1,0,0,0
2010-06-29,"PARAGUAY","JAPAN",1,1,0,1,0
2010-07-02,"URUGUAY","GHANA",1,1,0,1,0
2010-09-22,"FRENCH GUIANA","MAYOTTE",1,0,1,0,0
2010-09-23,"GUADELOUPE","NEW CALEDONIA",1,0,1,0,0
2010-09-26,"GUADELOUPE","TAHITI",1,0,1,0,0
2010-09-29,"NEW CALEDONIA","TAHITI",1,0,1,0,0
2010-10-02,"RÉUNION","MARTINIQUE",1,0,1,0,0
2011-01-25,"JAPAN","SOUTH KOREA",1,1,0,1,0
2011-02-08,"ROMANIA","UKRAINE",1,0,1,0,0
2011-02-09,"SWEDEN","UKRAINE",1,0,1,0,0
